strip's	1	0	Infinity
spontaneity	2	0	Infinity
xi	1	23	0.043478260869565216
text-based	3	0	Infinity
xn	0	1	0.0
straits	1	7	0.14285714285714285
fergie's	0	1	0.0
xl	1	1	1.0
xm	0	2	0.0
coen's	0	1	0.0
sandgate	0	1	0.0
steeleye	0	1	0.0
xp	0	5	0.0
fernándo-armesto	0	1	0.0
courrier	0	2	0.0
xv	2	11	0.18181818181818182
tó	0	1	0.0
xt	0	3	0.0
xu	0	7	0.0
wz	0	1	0.0
ww	0	1	0.0
sù	1	0	Infinity
measurable	3	0	Infinity
lacquer	1	0	Infinity
glides	1	0	Infinity
xb	2	0	Infinity
xa	1	0	Infinity
glider	7	1	7.0
backed-up	1	0	Infinity
xd	0	1	0.0
wg	0	3	0.0
wh	0	3	0.0
wi	0	3	0.0
wj	0	2	0.0
wl	1	2	0.5
expiration	2	0	Infinity
wm	0	6	0.0
sé	0	1	0.0
sancti	1	0	Infinity
addison-wesley	0	1	0.0
wo	0	1	0.0
jojoba	1	0	Infinity
uyên	0	1	0.0
wp	0	1	0.0
glided	1	0	Infinity
sancte	0	1	0.0
blaženka	0	1	0.0
patriots	0	11	0.0
wr	1	0	Infinity
ws	0	5	0.0
wt	0	1	0.0
pō	1	0	Infinity
wu	0	16	0.0
stenographer	2	0	Infinity
wv	0	5	0.0
vw	0	2	0.0
castilian	0	5	0.0
vv	0	1	0.0
petrowitsch	0	1	0.0
quarterlights	2	0	Infinity
disparage	1	0	Infinity
outdoors	7	2	3.5
y"	1	1	1.0
t½	1	0	Infinity
pascoe	0	1	0.0
wb	0	2	0.0
wa	7	13	0.5384615384615384
burns/luttrell	0	1	0.0
wd	0	2	0.0
wc	0	1	0.0
wf	0	2	0.0
we	149	113	1.3185840707964602
vl	0	1	0.0
inshore	4	1	4.0
ré	0	1	0.0
fromm	0	4	0.0
abnormality	1	0	Infinity
vk	0	3	0.0
whole-face	0	1	0.0
vi	2	34	0.058823529411764705
vf	0	2	0.0
gann's	0	1	0.0
vt	0	3	0.0
vu	0	3	0.0
vr	0	2	0.0
diether	0	1	0.0
vs	44	6	7.333333333333333
vp	0	4	0.0
extraplanetary	1	0	Infinity
desson	0	1	0.0
vn	0	1	0.0
warsaw	0	26	0.0
vo	0	2	0.0
uv	0	3	0.0
coelho	0	1	0.0
ve	1	0	Infinity
cross-dialect	1	0	Infinity
vd	0	1	0.0
dʒ	1	0	Infinity
frond	1	0	Infinity
vc	0	4	0.0
va	5	7	0.7142857142857143
econometrics	1	0	Infinity
nacha's	0	1	0.0
ui	0	4	0.0
uk	0	227	0.0
ul	1	2	0.5
coelia	0	1	0.0
ue	1	1	1.0
colonializing	1	0	Infinity
ug	0	1	0.0
ur	0	3	0.0
front	171	40	4.275
us	87	279	0.3118279569892473
crofts	0	4	0.0
ut	2	4	0.5
frons	1	0	Infinity
um	4	3	1.3333333333333333
un	16	40	0.4
warde	0	1	0.0
up	1000	75	13.333333333333334
ty	1	1	1.0
wards	8	1	8.0
tx	0	10	0.0
tu	2	4	0.5
tt	0	6	0.0
helterbrand	0	2	0.0
tv	2	206	0.009708737864077669
erzähltradition	0	1	0.0
toilets	4	0	Infinity
ua	0	1	0.0
helmar	0	1	0.0
crni	0	1	0.0
ud	2	0	Infinity
aː	1	0	Infinity
uc	0	10	0.0
helman	0	1	0.0
soldier's	1	2	0.5
pinkish	1	0	Infinity
archelaus	0	1	0.0
to	4146	283	14.650176678445229
decidua	1	0	Infinity
tm	2	13	0.15384615384615385
tl	0	2	0.0
ts	3	4	0.75
tr	4	4	1.0
tq	0	2	0.0
croy	0	1	0.0
tg	0	1	0.0
frost	4	12	0.3333333333333333
tf	0	2	0.0
crow	6	8	0.75
te	2	9	0.2222222222222222
td	0	5	0.0
tk	0	1	0.0
crustal	1	0	Infinity
v-	1	0	Infinity
tj	1	7	0.14285714285714285
crop	17	2	8.5
ti	2	5	0.4
på	5	1	5.0
də	1	0	Infinity
th	4	7	0.5714285714285714
cron	0	3	0.0
crom	0	1	0.0
tb	0	2	0.0
tc	0	3	0.0
toyamana	1	0	Infinity
oü	0	1	0.0
ta	3	5	0.6
ta-man	1	0	Infinity
su	3	9	0.3333333333333333
бичевская	0	1	0.0
kirsten	0	2	0.0
sv	2	9	0.2222222222222222
ss	2	26	0.07692307692307693
st	5	355	0.014084507042253521
croc	0	1	0.0
sy	0	1	0.0
sw	0	8	0.0
wares	2	0	Infinity
markings	7	0	Infinity
pink-white	1	0	Infinity
sl	0	4	0.0
antecedent	1	0	Infinity
sk	0	9	0.0
sn	0	1	0.0
sm	0	7	0.0
sp	5	6	0.8333333333333334
timrå	0	1	0.0
opernschreibens	0	1	0.0
so	580	77	7.532467532467533
state-owned	5	0	Infinity
arabic-persian	0	1	0.0
sr	0	48	0.0
sq	2	3	0.6666666666666666
disjoint	1	0	Infinity
sd	0	4	0.0
sc	0	19	0.0
sf	1	5	0.2
warbelow’s	0	1	0.0
se	13	12	1.0833333333333333
sh	2	8	0.25
−∞	1	0	Infinity
sg	0	2	0.0
sj	0	5	0.0
si	3	5	0.6
rz	0	1	0.0
dysplasia	1	1	1.0
sa	4	24	0.16666666666666666
sb	1	5	0.2
rr	1	5	0.2
rs	0	13	0.0
rt	0	3	0.0
ru	2	4	0.5
rv	0	2	0.0
rw	0	4	0.0
novo-donepskoe	0	1	0.0
kő	1	0	Infinity
ry	0	1	0.0
rq	0	1	0.0
rp	0	4	0.0
ro	0	4	0.0
acknowledge	8	0	Infinity
në	1	0	Infinity
rn	0	10	0.0
rm	0	3	0.0
né	2	0	Infinity
rl	0	19	0.0
testbed	1	0	Infinity
rk	0	2	0.0
rj	0	5	0.0
ri	0	4	0.0
rh	1	5	0.2
korman	0	3	0.0
rg	0	6	0.0
strings	15	1	15.0
rf	0	3	0.0
mā	1	0	Infinity
re	3	9	0.3333333333333333
ná	1	0	Infinity
rd	1	13	0.07692307692307693
rc	0	5	0.0
rb	0	2	0.0
fǔ	1	0	Infinity
ra	1	14	0.07142857142857142
a'askvarii	0	1	0.0
fordson	0	1	0.0
improvisational	4	0	Infinity
actinoceratoidea	0	1	0.0
yaʿqob	0	3	0.0
atlassers	2	0	Infinity
mó	0	1	0.0
cottenet	0	1	0.0
qv	4	1	4.0
jō	0	1	0.0
qt	1	0	Infinity
criş	0	1	0.0
martinez	0	12	0.0
qi	1	7	0.14285714285714285
ql	0	6	0.0
qf	0	1	0.0
qe	0	1	0.0
iş	0	1	0.0
fire's	0	1	0.0
秋月貴也	1	0	Infinity
lü	1	2	0.5
paramide	1	1	1.0
grundhoefer’s	0	1	0.0
intertwining	1	0	Infinity
qc	0	12	0.0
nº	0	3	0.0
exxon	0	2	0.0
lù	1	0	Infinity
px	0	2	0.0
r:	1	0	Infinity
polytopes	1	1	1.0
py	0	1	0.0
octagonal	5	0	Infinity
preload	1	0	Infinity
nancy's	0	2	0.0
pt	0	18	0.0
pu	0	2	0.0
pv	0	4	0.0
pp	186	1	186.0
pq	0	1	0.0
jī	2	0	Infinity
n°	1	1	1.0
pr	0	9	0.0
ps	2	6	0.3333333333333333
flooding	18	1	18.0
wändell	0	1	0.0
marching	4	2	2.0
smuggling	6	0	Infinity
entomologique	1	0	Infinity
energetic	4	0	Infinity
margie	0	1	0.0
網走川	1	0	Infinity
margin	31	3	10.333333333333334
vengeance	5	3	1.6666666666666667
crtc	0	3	0.0
benevento	0	1	0.0
paviours	1	0	Infinity
cromford	0	4	0.0
rentoul	0	1	0.0
lookout	3	2	1.5
barrington	0	2	0.0
adolphe	0	2	0.0
vipers	1	1	1.0
fenice	0	1	0.0
dowager's	1	0	Infinity
helen	0	29	0.0
weisse	1	1	1.0
kʰ	1	0	Infinity
cryonics	1	0	Infinity
yù	0	1	0.0
crum	0	1	0.0
stricker	0	1	0.0
recollections	2	2	1.0
kʷ	1	0	Infinity
wentelteefje	0	1	0.0
bcm/year	0	4	0.0
wave-like	2	0	Infinity
už	1	0	Infinity
stricken	5	0	Infinity
crut	0	1	0.0
assemblyman	0	2	0.0
qualitative	5	0	Infinity
unbound	2	2	1.0
crux	2	0	Infinity
engage	27	0	Infinity
cruz	0	18	0.0
cyndaquil	0	3	0.0
maspero	0	6	0.0
tumbleweed	1	1	1.0
glaziers	1	0	Infinity
frowd	0	3	0.0
przemysł	0	1	0.0
uś	0	1	0.0
vicariously	1	0	Infinity
totalled	1	0	Infinity
fictionalised	2	0	Infinity
corydoras	0	1	0.0
suomiana	1	0	Infinity
bolpur	0	1	0.0
law#history	1	0	Infinity
lewisville	0	1	0.0
decider	2	0	Infinity
decides	40	0	Infinity
feričanci	0	1	0.0
drugstore	0	1	0.0
calaveras	0	2	0.0
timor	0	3	0.0
athletics's	0	1	0.0
determination	19	4	4.75
grillage	1	0	Infinity
d'arcy	1	1	1.0
fjord	1	2	0.5
aesthete	1	0	Infinity
executors	1	0	Infinity
peyfuss	0	1	0.0
championship's	1	0	Infinity
yielded	12	0	Infinity
bindibu	0	1	0.0
martinko	0	1	0.0
revitalized	1	0	Infinity
cayne	0	1	0.0
stop-over	1	0	Infinity
pruritus	0	1	0.0
zz	0	1	0.0
businesswoman	2	0	Infinity
sandal	1	0	Infinity
sandag	0	1	0.0
polmorva	0	1	0.0
waterworks	3	2	1.5
re-scheduled	1	0	Infinity
sensibilities	2	0	Infinity
bearer	3	1	3.0
zh	1	0	Infinity
zi	0	1	0.0
beat's	0	1	0.0
timms	0	4	0.0
ze	1	1	1.0
za	14	0	Infinity
yy	0	1	0.0
