der	Milchbeutel	die	Milchbeutel
der	Kies	die	Kiese
das	Milchmädchen	die	Milchmädchen
das	Milchmixgetränk	die	Milchmixgetränke
der	Milchshake	die	Milchshakes
die	Kröte	die	Kröten
der	Turm	die	Türme
der	Aussichtsturm	die	Aussichtstürme
der	Bohrturm	die	Bohrtürme
der	Elfenbeinturm	die	Elfenbeintürme
der	Fernmeldeturm	die	Fernmeldetürme
der	Fernsehturm	die	Fernsehtürme
der	TV-Turm	die	TV-Türme
der	Gefechtsturm	die	Gefechtstürme
der	Geschützturm	die	Geschütztürme
der	Kanonenturm	die	Kanonentürme
der	Sprungturm	die	Sprungtürme
der	Wachturm	die	Wachtürme
der	Kontrollturm	die	Kontrolltürme
der	Förderturm	die	Fördertürme
der	Pulverturm	die	Pulvertürme
der	Zwiebelturm	die	Zwiebeltürme
der	Schuldturm	die	Schuldtürme
der	Funkturm	die	Funktürme
der	Sendeturm	die	Sendetürme
der	Wehrturm	die	Wehrtürme
der	Kühlturm	die	Kühltürme
der	Wasserturm	die	Wassertürme
der	Tod	die	Tode
das	Universum	die	Universen
die	Toilette	die	Toiletten
der	Sternhaufen	die	Sternhaufen
die	Schabracke	die	Schabracken
die	Stunde	die	Stunden
die	Marine	die	Marinen
der	Einwohner	die	Einwohner
das	Schiff	die	Schiffe
die	Blasphemie	die	Blasphemien
die	Katze	die	Katzen
die	Minute	die	Minuten
die	Sekunde	die	Sekunden
der	Körperteil	die	Körperteile
das	Gebäude	die	Gebäude
die	Großkatze	die	Großkatzen
das	Rennpferd	die	Rennpferde
das	Kompliment	die	Komplimente
der	Photonentorpedo	die	Photonentorpedos
das	Zentrum	die	Zentren
der	Häuserkampf	die	Häuserkämpfe
das	E-Zine	die	E-Zines
der	Protist	die	Protisten
das	Pepsin	die	Pepsine
die	Auslagerung	die	Auslagerungen
der	Bernstein	die	Bernsteine
der	Aktionär	die	Aktionäre
die	Amnestie	die	Amnestien
die	Hauptversammlung	die	Hauptversammlungen
der	Luftkampf	die	Luftkämpfe
die	Luftwaffe	die	Luftwaffen
der	Volleyball	die	Volleybälle
die	Luftaufnahme	die	Luftaufnahmen
die	Akklamation	die	Akklamationen
das	Luftbild	die	Luftbilder
das	Kondominat	die	Kondominate
das	Delkredererisiko	die	Delkredererisiken
die	Lymphdrainage	die	Lymphdrainagen
das	Magazin	die	Magazine
der	Verhaltensforscher	die	Verhaltensforscher
die	Abstraktionsfähigkeit	die	Abstraktionsfähigkeiten
die	Autökologie	die	Autökologien
die	Tafel	die	Tafeln
die	Luftbrücke	die	Luftbrücken
die	Asche	die	Aschen
das	Bein	die	Beine
der	Bauch	die	Bäuche
das	Wirtschaftsobjekt	die	Wirtschaftsobjekte
die	Organisationsstruktur	die	Organisationsstrukturen
der	Luftpirat	die	Luftpiraten
das	Onkoid	die	Onkoide
die	Autobahn	die	Autobahnen
der	Haschemit	die	Haschemiten
die	Banknote	die	Banknoten
